calle;calleClean;name;surname;fiabilidad;gender;wikipedia
camino santa Lucia;santa Lucia;santa;Lucia;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa Eulalia- La Torre;Santa Eulalia- La Torre;Santa;Eulalia-;2;Female;https://es.wikipedia.org/wiki/Eulalia_de_M%C3%A9rida
Calle Paola;Paola;Paola;;2;Female;
Calle Azucena;Azucena;Azucena;;2;Female;
Calle Génesis;Génesis;Génesis;;2;Female;
Calle Andalucía;Andalucía;Andalucía;;2;Female;
Calle Jade;Jade;Jade;;2;Female;
Calle Elena;Elena;Elena;;2;Female;
Calle Flor;Flor;Flor;;2;Female;
Calle Loretta;Loretta;Loretta;;2;Female;
Calle Marisol;Marisol;Marisol;;2;Female;
Avenida Esperanza;Esperanza;Esperanza;;2;Female;
Calle Esperanza;Esperanza;Esperanza;;2;Female;
Calle Norma;Norma;Norma;;2;Female;
Calle Monserrat;Monserrat;Monserrat;;2;Female;
Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;https://es.wikipedia.org/wiki/Rosa_de_Viterbo
Alondra Trail;Alondra Trail;Alondra;Trail;2;Female;
Calle la Emilia;la Emilia;la;Emilia;2;Female;
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle La Virgen;La Virgen;La;Virgen;2;Female;https://es.wikipedia.org/wiki/Isabel_de_Hungr%C3%ADa_la_virgen
Calle Berta;Berta;Berta;;2;Female;
Calle Damaris;Damaris;Damaris;;2;Female;
Calle La Eva;La Eva;La;Eva;2;Female;https://es.wikipedia.org/wiki/Eva
Calle Alicia;Alicia;Alicia;;2;Female;
Calle Rosalía;Rosalía;Rosalía;;2;Female;
Calle Santa Lucia;Santa Lucia;Santa;Lucia;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
Calle La Hilda;La Hilda;La;Hilda;2;Female;
Santa Marta- Ostional;Santa Marta- Ostional;Santa;Marta-;2;Female;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Don Carmen;Don Carmen;Don;Carmen;2;Female;
Calle Mónica;Mónica;Mónica;;2;Female;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female;https://es.wikipedia.org/wiki/Ana_(madre_de_Mar%C3%ADa)
Calle La Melissa;La Melissa;La;Melissa;2;Female;
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;
Calle Piedades;Piedades;Piedades;;2;Female;
Calle Angélica;Angélica;Angélica;;2;Female;
Calle Higinia;Higinia;Higinia;;2;Female;
Calle Breña Mora;Breña Mora;Breña;Mora;2;Female;
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;
Sendero Micaela;Micaela;Micaela;;2;Female;
Calle Maria Isabel;Maria Isabel;Maria;Isabel;2;Female;
Calle La Claudia;La Claudia;La;Claudia;2;Female;
Calle La Soledad;La Soledad;La;Soledad;2;Female;
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;
Calle De Los Canasteros Rosa Montero;De Los Canasteros Rosa Montero;De;Los;2;Female;
La matilde;La matilde;La;matilde;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Venus;Venus;Venus;;2;Female;https://es.wikipedia.org/wiki/Venus_(mitolog%C3%ADa)
Calle Estéfana;Estéfana;Estéfana;;2;Female;
Calle Rosemary Karpinski;Rosemary Karpinski;Rosemary;Karpinski;2;Female;https://de.wikipedia.org/wiki/Rosemary_Karpinsky_Dodero
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;https://es.wikipedia.org/wiki/Rosa_de_Lima_(santa)
Santa Rita;Santa Rita;Santa;Rita;2;Female;https://es.wikipedia.org/wiki/Rita_de_Casia
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;https://es.wikipedia.org/wiki/Eduviges_de_Andechs
Calle Anita;Anita;Anita;;2;Female;
Calle Alice;Alice;Alice;;2;Female;
Urbanización Doña Flora;Urbanización Doña Flora;Urbanización;Doña;2;Female;
Calle La Julieta;La Julieta;La;Julieta;2;Female;
Calle Delfina;Delfina;Delfina;;2;Female;
Calle Isabel Argüello;Isabel Argüello;Isabel;Argüello;2;Female;
Calle Belén;Belén;Belén;;2;Female;
Barrio Santa Lucia;Barrio Santa Lucia;Barrio;Santa;2;Female;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Santa Barbara;Santa Barbara;Santa;Barbara;2;Female;https://es.wikipedia.org/wiki/B%C3%A1rbara_(m%C3%A1rtir)
