calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Radial Santa Ana;Radial Santa Ana;Radial;Santa;2;Female;https://es.wikipedia.org/wiki/Muriel_Santa_Ana
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;https://es.wikipedia.org/wiki/Marta_Luc%C3%ADa_Ram%C3%ADrez
Boulevard Alcides Jiménez Rojas;Alcides Jiménez Rojas;Alcides;Jiménez;2;Female;https://es.wikipedia.org/wiki/Elisa_Jim%C3%A9nez_Armas
Calle San Marco;San Marco;San;Marco;-2;Male;
Calle Ross;Ross;Ross;;-2;Male;
Calle Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;
Calzada Gastón Michelli;Gastón Michelli;Gastón;Michelli;-2;Male;
Avenida Ricardo Orfila;Ricardo Orfila;Ricardo;Orfila;-2;Male;
Calle Estéfana;Estéfana;Estéfana;;2;Female;https://es.wikipedia.org/wiki/Est%C3%A9fani_Esp%C3%ADn
Calle Rosemary Karpinski;Rosemary Karpinski;Rosemary;Karpinski;2;Female;https://es.wikipedia.org/wiki/Rosemary_Harris
Calle Sánchez Cruz;Sánchez Cruz;Sánchez;Cruz;2;Female;https://es.wikipedia.org/wiki/Leticia_S%C3%A1nchez_Ruiz
Santa Rita;Santa Rita;Santa;Rita;2;Female;https://es.wikipedia.org/wiki/Ita_(santa)
Calle Pérez;Pérez;Pérez;;-2;Male;
Calle Marcial Aguiluz;Marcial Aguiluz;Marcial;Aguiluz;-2;Male;
Calle La Julieta;La Julieta;La;Julieta;2;Female;https://es.wikipedia.org/wiki/Rosa_Julieta_Monta%C3%B1o_Salvatierra
Puente Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;
Rafael Barroeta;Rafael Barroeta;Rafael;Barroeta;-2;Male;
Calle León Cortés;León Cortés;León;Cortés;-2;Male;
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;Ernesto;Rohrmoser;-2;Male;
Alexander Von Humboldt;Alexander Von Humboldt;Alexander;Von;-2;Male;
Puente Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;
Avenida Elena Lahmann de Rohrmoser;Elena Lahmann Rohrmoser;Elena;Lahmann;2;Female;https://es.wikipedia.org/wiki/Elena_Rom%C3%A1n_Torres
Calle Delfina;Delfina;Delfina;;2;Female;https://es.wikipedia.org/wiki/Delfina_Varni
Oficentro La Virgen;Oficentro La Virgen;Oficentro;La;2;Female;https://es.wikipedia.org/wiki/Vicenta_Arenas_Mayor
Calle Isabel Argüello;Isabel Argüello;Isabel;Argüello;2;Female;https://es.wikipedia.org/wiki/Isabel_Avell%C3%A1n
Calle Noé Marín;Noé Marín;Noé;Marín;-2;Male;
Calle Vica León;Vica León;Vica;León;2;Female;https://es.wikipedia.org/wiki/Silvia_Le%C3%B3n
Calle Jesús León;Jesús León;Jesús;León;-2;Male;
Condominio Les Tiffany;Condominio Les Tiffany;Condominio;Les;2;Female;https://es.wikipedia.org/wiki/Dominique_Canty
Calle Francisco Corrales;Francisco Corrales;Francisco;Corrales;-2;Male;
Calle León;León;León;;-2;Male;
Puente Yolanda Oreamuno;Yolanda Oreamuno;Yolanda;Oreamuno;2;Female;https://es.wikipedia.org/wiki/Yolanda_Oreamuno
Calle La Luisa;La Luisa;La;Luisa;2;Female;https://es.wikipedia.org/wiki/Ana_Luisa_Montufar
Avenida Mauro Fernández;Mauro Fernández;Mauro;Fernández;-2;Male;
Avenida Presidente Roosevelt;Presidente Roosevelt;Presidente;Roosevelt;-2;Male;
Avenida Joaquín García Monge;Joaquín García Monge;Joaquín;García;-2;Male;
Avenida Rafael Francisco Osejo;Rafael Francisco Osejo;Rafael;Francisco;-2;Male;
Avenida José Cecilio del Valle;José Cecilio Valle;José;Cecilio;-2;Male;
Avenida San Martín;San Martín;San;Martín;-2;Male;
Avenida Pedro Molina;Pedro Molina;Pedro;Molina;-2;Male;
Avenida Eladio Prado Sáenz;Eladio Prado Sáenz;Eladio;Prado;-2;Male;
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;
Avenida Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;
Avenida Manuel María Peralta;Manuel María Peralta;Manuel;María;-2;Male;
Calle Juan Rafael Mora;Juan Rafael Mora;Juan;Rafael;-2;Male;
Simón Bolívar;Simón Bolívar;Simón;Bolívar;-2;Male;
Avenida Libertador Juan Rafael Mora;Libertador Juan Rafael Mora;Libertador;Juan;-2;Male;
Avenida Simón Bolívar;Simón Bolívar;Simón;Bolívar;-2;Male;
Avenida Castro Madríz;Castro Madríz;Castro;Madríz;-2;Male;
Paseo Domingo Sarmiento;Domingo Sarmiento;Domingo;Sarmiento;-2;Male;
Avenida Monseñor Castro y Iménez;Monseñor Castro y Iménez;Monseñor;Castro;-2;Male;
Avenida Isabel La Católica;Isabel La Católica;Isabel;La;2;Female;https://es.wikipedia.org/wiki/Isabella_Cascarano
Avenida Monseñor Castro y Jiménez;Monseñor Castro y Jiménez;Monseñor;Castro;-2;Male;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;
Juan Rafael Mora;Juan Rafael Mora;Juan;Rafael;-2;Male;
Calle José María Cañas;José María Cañas;José;María;-2;Male;
Calle Tomás Guardia Gutiérrez;Tomás Guardia Gutiérrez;Tomás;Guardia;-2;Male;
José María Cañas;José María Cañas;José;María;-2;Male;
